name,sigla,state
Centro Universitario Nobre De Feira De Santana,Null,Ba
Centro Universitario Nossa Senhora Aparecida,Unifanap,Go
Centro Universitario Nossa Senhora Do Patrocinio,Ceunsp,Sp
Centro Universitario Opet,Uniopet,Pr
Centro Universitario Padre Albino,Null,Sp
Centro Universitario Padre Anchieta,Unianchieta,Sp
Centro Universitario Padre Joao Bagozzi,Unibagozzi,Pr
Centro Universitario Para O Desenvolvimento Do Alto Vale Do Itajai,Unidavi,Sc
Centro Universitario Paraiso,Null,Ce
Centro Universitario Paulistano,Unipaulistana,Sp
Centro Universitario Piaget,Unipiaget,Sp
Centro Universitario Planalto Do Distrito Federal,Uniplan,Df
Centro Universitario Planalto Do Distrito Federal - Uniplan,Uniplan,Df
Centro Universitario Presidente Antonio Carlos,Unipac,Mg
Centro Universitario Presidente Antonio Carlos  Juiz De Fora,Unipac,Null
Centro Universitario Presidente Antonio Carlos De Araguari,Unipac,Mg
Centro Universitario Presidente Antonio Carlos De Barbacena,Unipac,Mg
Centro Universitario Presidente Tancredo De Almeida Neves,Uniptan,Mg
Centro Universitario Processus,Uniprocessus,Df
Centro Universitario Projecao,Uniprojecao,Df
Centro Universitario Redentor,Facredentor,Rj
Centro Universitario Ritter Dos Reis,Uniritter,Rs
Centro Universitario Ruy Barbosa Wyden,Uniruy Wyden,Ba
Centro Universitario Sagrado Coracao,Unisagrado,Sp
Centro Universitario Salesiano,Unisales,Es
Centro Universitario Salesiano De Sao Paulo,Unisal,Sp
Centro Universitario Sant'Anna,Unisant'Anna,Sp
Centro Universitario Santa Amelia,Secal,Pr
Centro Universitario Santa Cecilia,Unicea,Sp
Centro Universitario Santa Cruz De Curitiba,Uni Santa Cruz,Pr
Centro Universitario Santa Maria,Unifsm,Pb
Centro Universitario Santa Maria Da Gloria,Unismg,Pr
Centro Universitario Santa Rita,Unifasar,Mg
Centro Universitario Santanna,Unisant'Anna,Sp
Centro Universitario Santo Agostinho,Unifsa,Pi
Centro Universitario Sao Camilo,Sao Camilo,Sp
Centro Universitario Sao Camilo - Espirito Santo,Sao Camilo-Es,Es
Centro Universitario Sao Jose,Unisj,Rj
Centro Universitario Sao Jose De Itaperuna,Null,Rj
Centro Universitario Sao Judas Tadeu,Csjt,Sp
Centro Universitario Sao Lucas,Unisl,Ro
Centro Universitario Sao Lucas Ji-Parana,Unisl,Ro
Centro Universitario Sao Miguel,Unisaomiguel,Pe
Centro Universitario Sao Roque,Unisao Roque,Sp
Centro Universitario Satc,Unisatc,Sc
Centro Universitario Senac,Rs,Rs
Centro Universitario Senai Blumenau,Null,Sc
Centro Universitario Senai Cimatec,Senai Cimatec,Ba
Centro Universitario Serra Dos Orgaos,Unifeso,Rj
Centro Universitario Sete De Setembro,Uni7,Ce
Centro Universitario Social Da Bahia,Unisba,Ba
Centro Universitario Sociesc,Null,Sc
Centro Universitario Sociesc De Blumenau,Null,Sc
Centro Universitario Sudoeste Paulista,Unifsp,Sp
Centro Universitario Sul-Americana,Unifasam,Go
Centro Universitario Sumare,Null,Sp
Centro Universitario Tabosa De Almeida,Asces-Unita,Pe
Centro Universitario Teresa D'Avila,Fatea,Sp
Centro Universitario Tiradentes,Unit,Al
Centro Universitario Tiradentes De Pernambuco,Unit Pe,Pe
Centro Universitario Tocantinense Presidente Antonio Carlos,Unitpac,To
Centro Universitario Toledo Wyden,Unitoledo Wyden,Sp
Centro Universitario U:Verse,Null,Ac
Centro Universitario Ufbra,Ufbra,Sp
Centro Universitario Una,Una,Mg
Centro Universitario Una De Betim,Null,Mg
Centro Universitario Una De Bom Despacho,Una,Mg
Centro Universitario Una De Contagem,Null,Mg
Centro Universitario Una De Uberlandia,Null,Mg
Centro Universitario Uni-Ban,Uni-Ban,Sp
Centro Universitario Uniao Das Americas Descomplica,Uniamerica,Pr
Centro Universitario Uniasselvi De Brusque,Null,Sc
Centro Universitario Unibta,Null,Sp
Centro Universitario Unic,Null,Mt
Centro Universitario Unicarioca,Unicarioca,Rj
Centro Universitario Unicuritiba,Unicuritiba,Pr
Centro Universitario Unidade De Ensino Superior Dom Bosco,Undb,Ma
Centro Universitario Unidom - Bosco,Unidom - Bosco,Pr
Centro Universitario Unifaat,Unifaat,Sp
Centro Universitario Unifacear,Null,Pr
Centro Universitario Unifacig,Null,Mg
Centro Universitario Unifacottur,Null,Pe
Centro Universitario Unifafibe,Fafibe,Sp
Centro Universitario Unifas,Null,Ba
Centro Universitario Unifateb,Null,Pr
Centro Universitario Unifatecie,Unifatecie,Pr
Centro Universitario Unifecaf,Null,Sp
Centro Universitario Uniftc,Null,Ba
Centro Universitario Uniftec,Null,Rs
Centro Universitario Uniftec Bento Goncalves,Null,Rs
Centro Universitario Unigran Capital,Null,Ms
Centro Universitario Unihorizontes,Null,Mg
Centro Universitario Uninorte,Null,Ac
Centro Universitario Uninovafapi,Uninovafapi,Pi
Centro Universitario Unirb,Unirb,Ba
Centro Universitario Unirb - Alagoinhas,Null,Ba
Centro Universitario Unirg,Unirg,To
Centro Universitario Unisan,Unisan,Sp
Centro Universitario Unisep,Ceuun,Pr
Centro Universitario Univates,Univates,Rs
Centro Universitario Univel,Null,Pr
Centro Universitario Universo Belo Horizonte,,Null
Centro Universitario Universo Goiania,,Null
Centro Universitario Universo Juiz De Fora,,Mg
Centro Universitario Universo Recife,,Pe
